"Year","Season","Week","Date","Field","TeamOne","TeamTwo","TeamOneScore","TeamTwoScore"
"2013","Summer",1,2013-06-09 13:30:00,"Greenlake Field 1","Seattle Shaggy Muskrats","Find The Holes","17","14"
"2013","Summer",1,2013-06-09 15:00:00,"Greenlake Field 1","First World Problems","Find The Holes","5","8"
"2013","Summer",1,2013-06-09 16:30:00,"Greenlake Field 1","Twin Diesels","Fowl Balls","14","13"
"2013","Summer",1,2013-06-09 18:00:00,"Greenlake Field 1","Sluggernauts","Stranger Danger","26","10"
"2013","Summer",1,2013-06-09 12:00:00,"Greenlake Field 2","#Blessed","Canlis","8","7"
"2013","Summer",1,2013-06-09 13:30:00,"Greenlake Field 2","Gomicroamadub","Booze On First","16","9"
"2013","Summer",1,2013-06-09 15:00:00,"Greenlake Field 2","Karate Explosion","Afternoon Delight","4","16"
"2013","Summer",1,2013-06-09 16:30:00,"Greenlake Field 2","Here For The Beer","Off In The Corner","28","3"
"2013","Summer",1,2013-06-09 18:00:00,"Greenlake Field 2","Off In The Corner","Randy's Johnson","2","13"
"2013","Summer",2,2013-06-16 12:00:00,"Greenlake Field 1","Gomicroamadub","Canlis","4","14"
"2013","Summer",2,2013-06-16 13:30:00,"Greenlake Field 1","Here For The Beer","Sluggernauts","20","6"
"2013","Summer",2,2013-06-16 15:00:00,"Greenlake Field 1","Randy's Johnson","#Blessed","9","9"
"2013","Summer",2,2013-06-16 16:30:00,"Greenlake Field 1","Randy's Johnson","Stranger Danger","15","12"
"2013","Summer",2,2013-06-16 18:00:00,"Greenlake Field 1","Booze On First","Off In The Corner","12","18"
"2013","Summer",2,2013-06-16 12:00:00,"Greenlake Field 2","Fowl Balls","Find The Holes","11","6"
"2013","Summer",2,2013-06-16 13:30:00,"Greenlake Field 2","Afternoon Delight","Your Mom Plays Softball","5","6"
"2013","Summer",2,2013-06-16 15:00:00,"Greenlake Field 2","Afternoon Delight","Seattle Shaggy Muskrats","15","7"
"2013","Summer",2,2013-06-16 16:30:00,"Greenlake Field 2","Karate Explosion","First World Problems","15","6"
"2013","Summer",2,2013-06-16 18:00:00,"Greenlake Field 2","Twin Diesels","First World Problems","6","25"
"2013","Summer",3,2013-06-23 12:00:00,"Greenlake Field 1","Fowl Balls","Afternoon Delight","11","20"
"2013","Summer",3,2013-06-23 13:30:00,"Greenlake Field 1","Find The Holes","Here For The Beer","11","10"
"2013","Summer",3,2013-06-23 15:00:00,"Greenlake Field 1","Seattle Shaggy Muskrats","First World Problems","13","11"
"2013","Summer",3,2013-06-23 16:30:00,"Greenlake Field 1","Your Mom Plays Softball","Twin Diesels","4","6"
"2013","Summer",3,2013-06-23 18:00:00,"Greenlake Field 1","Karate Explosion","Twin Diesels","9","11"
"2013","Summer",3,2013-06-23 12:00:00,"Greenlake Field 2","Booze On First","Sluggernauts","11","14"
"2013","Summer",3,2013-06-23 13:30:00,"Greenlake Field 2","#Blessed","Booze On First","13","8"
"2013","Summer",3,2013-06-23 15:00:00,"Greenlake Field 2","Canlis","Off In The Corner","15","3"
"2013","Summer",3,2013-06-23 16:30:00,"Greenlake Field 2","Randy's Johnson","Gomicroamadub","10","15"
"2013","Summer",3,2013-06-23 18:00:00,"Greenlake Field 2","Stranger Danger","Gomicroamadub","14","8"
"2013","Summer",4,2013-06-30 12:00:00,"Greenlake Field 1","Gomicroamadub","Off In The Corner","4","17"
"2013","Summer",4,2013-06-30 13:30:00,"Greenlake Field 1","Booze On First","Randy's Johnson","26","11"
"2013","Summer",4,2013-06-30 15:00:00,"Greenlake Field 1","Stranger Danger","#Blessed","15","24"
"2013","Summer",4,2013-06-30 16:30:00,"Greenlake Field 1","Stranger Danger","Here For The Beer","3","8"
"2013","Summer",4,2013-06-30 18:00:00,"Greenlake Field 1","Sluggernauts","Canlis","11","21"
"2013","Summer",4,2013-06-30 12:00:00,"Greenlake Field 2","Afternoon Delight","Twin Diesels","15","4"
"2013","Summer",4,2013-06-30 13:30:00,"Greenlake Field 2","Karate Explosion","Your Mom Plays Softball","10","15"
"2013","Summer",4,2013-06-30 15:00:00,"Greenlake Field 2","Your Mom Plays Softball","Find The Holes","21","3"
"2013","Summer",4,2013-06-30 16:30:00,"Greenlake Field 2","First World Problems","Fowl Balls","9","8"
"2013","Summer",4,2013-06-30 18:00:00,"Greenlake Field 2","Seattle Shaggy Muskrats","Fowl Balls","12","6"
"2013","Summer",5,2013-07-14 12:00:00,"Greenlake Field 1","Karate Explosion","Fowl Balls","13","8"
"2013","Summer",5,2013-07-14 13:30:00,"Greenlake Field 1","Seattle Shaggy Muskrats","Twin Diesels","26","14"
"2013","Summer",5,2013-07-14 15:00:00,"Greenlake Field 1","Afternoon Delight","Find The Holes","11","6"
"2013","Summer",5,2013-07-14 16:30:00,"Greenlake Field 1","First World Problems","Your Mom Plays Softball","8","9"
"2013","Summer",5,2013-07-14 18:00:00,"Greenlake Field 1","Stranger Danger","Booze On First","8","28"
"2013","Summer",5,2013-07-14 12:00:00,"Greenlake Field 2","#Blessed","Gomicroamadub","42","2"
"2013","Summer",5,2013-07-14 13:30:00,"Greenlake Field 2","#Blessed","Here For The Beer","6","7"
"2013","Summer",5,2013-07-14 15:00:00,"Greenlake Field 2","Here For The Beer","Canlis","5","4"
"2013","Summer",5,2013-07-14 16:30:00,"Greenlake Field 2","Sluggernauts","Randy's Johnson","6","13"
"2013","Summer",5,2013-07-14 18:00:00,"Greenlake Field 2","Sluggernauts","Off In The Corner","7","11"
"2013","Summer",6,2013-07-21 12:00:00,"Greenlake Field 1","Stranger Danger","Off In The Corner","11","12"
"2013","Summer",6,2013-07-21 13:30:00,"Greenlake Field 1","Stranger Danger","Canlis","9","20"
"2013","Summer",6,2013-07-21 15:00:00,"Greenlake Field 1","Canlis","Booze On First","27","0"
"2013","Summer",6,2013-07-21 16:30:00,"Greenlake Field 1","Sluggernauts","#Blessed","7","33"
"2013","Summer",6,2013-07-21 18:00:00,"Greenlake Field 1","Gomicroamadub","Here For The Beer","1","16"
"2013","Summer",6,2013-07-21 12:00:00,"Greenlake Field 2","First World Problems","Afternoon Delight","16","9"
"2013","Summer",6,2013-07-21 15:00:00,"Greenlake Field 2","Karate Explosion","Seattle Shaggy Muskrats","17","8"
"2013","Summer",6,2013-07-21 16:30:00,"Greenlake Field 2","Your Mom Plays Softball","Fowl Balls","13","3"
